Year,Average
1851,5.674556213
1852,5.674556213
1853,5.674556213
1854,5.674556213
1855,5.674556213
1856,5.674556213
1857,5.674556213
1858,5.674556213
1859,5.674556213
1860,5.674556213
1861,5.674556213
1862,5.674556213
1863,5.674556213
1864,5.674556213
1865,5.674556213
1866,5.674556213
1867,5.674556213
1868,5.674556213
1869,5.674556213
1870,5.674556213
1871,5.674556213
1872,5.674556213
1873,5.674556213
1874,5.674556213
1875,5.674556213
1876,5.674556213
1877,5.674556213
1878,5.674556213
1879,5.674556213
1880,5.674556213
1881,5.674556213
1882,5.674556213
1883,5.674556213
1884,5.674556213
1885,5.674556213
1886,5.674556213
1887,5.674556213
1888,5.674556213
1889,5.674556213
1890,5.674556213
1891,5.674556213
1892,5.674556213
1893,5.674556213
1894,5.674556213
1895,5.674556213
1896,5.674556213
1897,5.674556213
1898,5.674556213
1899,5.674556213
1900,5.674556213
1901,5.674556213
1902,5.674556213
1903,5.674556213
1904,5.674556213
1905,5.674556213
1906,5.674556213
1907,5.674556213
1908,5.674556213
1909,5.674556213
1910,5.674556213
1911,5.674556213
1912,5.674556213
1913,5.674556213
1914,5.674556213
1915,5.674556213
1916,5.674556213
1917,5.674556213
1918,5.674556213
1919,5.674556213
1920,5.674556213
1921,5.674556213
1922,5.674556213
1923,5.674556213
1924,5.674556213
1925,5.674556213
1926,5.674556213
1927,5.674556213
1928,5.674556213
1929,5.674556213
1930,5.674556213
1931,5.674556213
1932,5.674556213
1933,5.674556213
1934,5.674556213
1935,5.674556213
1936,5.674556213
1937,5.674556213
1938,5.674556213
1939,5.674556213
1940,5.674556213
1941,5.674556213
1942,5.674556213
1943,5.674556213
1944,5.674556213
1945,5.674556213
1946,5.674556213
1947,5.674556213
1948,5.674556213
1949,5.674556213
1950,5.674556213
1951,5.674556213
1952,5.674556213
1953,5.674556213
1954,5.674556213
1955,5.674556213
1956,5.674556213
1957,5.674556213
1958,5.674556213
1959,5.674556213
1960,5.674556213
1961,5.674556213
1962,5.674556213
1963,5.674556213
1964,5.674556213
1965,5.674556213
1966,5.674556213
1967,5.674556213
1968,5.674556213
1969,5.674556213
1970,5.674556213
1971,5.674556213
1972,5.674556213
1973,5.674556213
1974,5.674556213
1975,5.674556213
1976,5.674556213
1977,5.674556213
1978,5.674556213
1979,5.674556213
1980,5.674556213
1981,5.674556213
1982,5.674556213
1983,5.674556213
1984,5.674556213
1985,5.674556213
1986,5.674556213
1987,5.674556213
1988,5.674556213
1989,5.674556213
1990,5.674556213
1991,5.674556213
1992,5.674556213
1993,5.674556213
1994,5.674556213
1995,5.674556213
1996,5.674556213
1997,5.674556213
1998,5.674556213
1999,5.674556213
2000,5.674556213
2001,5.674556213
2002,5.674556213
2003,5.674556213
2004,5.674556213
2005,5.674556213
2006,5.674556213
2007,5.674556213
2008,5.674556213
2009,5.674556213
2010,5.674556213
2011,5.674556213
2012,5.674556213
2013,5.674556213
2014,5.674556213
2015,5.674556213
2016,5.674556213
2017,5.674556213
2018,5.674556213
2019,5.674556213
2020,5.674556213
